Frequency,Magnitude
98.077,2.09141e-05
98.2452,2.02406e-05
98.4135,1.99056e-05
98.5817,1.96028e-05
98.7499,1.79745e-05
98.9182,1.54814e-05
99.0864,1.35386e-05
99.2546,1.17959e-05
99.4228,9.25632e-06
99.5911,6.63222e-06
99.7593,5.42691e-06
99.9275,5.33402e-06
100.096,5.28665e-06
100.264,5.30767e-06
100.432,5.82198e-06
100.6,6.87853e-06
100.769,7.93307e-06
100.937,8.36145e-06
101.105,8.16543e-06
101.273,8.03424e-06
101.442,8.16299e-06
101.61,7.8129e-06
101.778,7.35111e-06
101.946,8.53714e-06
102.114,1.06737e-05
102.283,1.20234e-05
102.451,1.3002e-05
102.619,1.52754e-05
102.787,1.85246e-05
102.956,2.11797e-05
103.124,2.35726e-05
103.292,2.63193e-05
103.46,2.73566e-05
103.629,2.45533e-05
103.797,1.95368e-05
103.965,1.64336e-05
104.133,1.42464e-05
104.301,9.86751e-06
104.47,8.87695e-06
104.638,1.25308e-05
104.806,1.28606e-05
104.974,1.15765e-05
105.143,1.33515e-05
105.311,1.33306e-05
105.479,7.72824e-06
105.647,2.62255e-06
105.816,7.41062e-06
105.984,7.26911e-06
106.152,6.81109e-06
106.32,1.05564e-05
106.488,1.02391e-05
106.657,3.94592e-06
106.825,4.82198e-06
106.993,8.41102e-06
107.161,5.97171e-06
107.33,8.89447e-06
107.498,1.48258e-05
107.666,1.39558e-05
107.834,8.84265e-06
108.002,1.21239e-05
108.171,1.4974e-05
108.339,1.01378e-05
108.507,8.0754e-06
108.675,1.41815e-05
108.844,1.34e-05
109.012,7.85693e-06
109.18,1.22636e-05
109.348,1.53781e-05
109.517,9.97313e-06
109.685,4.90856e-06
109.853,9.69269e-06
110.021,7.31243e-06
110.189,3.36371e-06
110.358,1.15142e-05
110.526,1.24563e-05
110.694,7.691e-06
110.862,1.27658e-05
111.031,1.73752e-05
111.199,1.37156e-05
111.367,1.17835e-05
111.535,1.78176e-05
111.703,1.78969e-05
111.872,1.31258e-05
112.04,1.66172e-05
112.208,2.05233e-05
112.376,1.72079e-05
112.545,1.59961e-05
112.713,2.19195e-05
112.881,2.32207e-05
113.049,1.96185e-05
113.218,1.99113e-05
113.386,2.14692e-05
113.554,1.75299e-05
113.722,1.39369e-05
113.89,1.76643e-05
114.059,1.90421e-05
114.227,1.64697e-05
114.395,1.75829e-05
114.563,2.01823e-05
114.732,1.83026e-05
114.9,1.59592e-05
115.068,1.78082e-05
115.236,1.77497e-05
115.405,1.37687e-05
115.573,1.17714e-05
115.741,1.19504e-05
115.909,9.8955e-06
116.077,1.14482e-05
116.246,1.62916e-05
116.414,1.78161e-05
116.582,1.74264e-05
116.75,1.85979e-05
116.919,1.90106e-05
117.087,1.76039e-05
117.255,1.78759e-05
117.423,1.90842e-05
117.591,1.80889e-05
117.76,1.67748e-05
117.928,1.70715e-05
118.096,1.69212e-05
118.264,1.67805e-05
118.433,1.7989e-05
118.601,1.82547e-05
118.769,1.72225e-05
118.937,1.75878e-05
119.106,1.84842e-05
119.274,1.79197e-05
119.442,1.77045e-05
119.61,1.80775e-05
119.778,1.70968e-05
119.947,1.74583e-05
120.115,2.14549e-05
120.283,2.48389e-05
120.451,2.5347e-05
120.62,2.462e-05
120.788,2.28219e-05
120.956,1.81073e-05
121.124,1.14059e-05
121.292,6.43164e-06
121.461,3.25436e-06
121.629,2.66009e-06
121.797,9.52496e-06
121.965,1.52291e-05
122.134,1.91593e-05
122.302,2.32325e-05
122.47,2.70959e-05
122.638,2.81699e-05
122.807,2.63356e-05
122.975,2.46605e-05
123.143,2.4357e-05
123.311,2.27997e-05
123.479,1.92914e-05
123.648,1.68402e-05
123.816,1.6138e-05
123.984,1.39805e-05
124.152,1.01257e-05
124.321,8.41684e-06
124.489,9.0407e-06
124.657,7.9947e-06
124.825,6.10432e-06
124.994,7.81668e-06
125.162,1.02598e-05
125.33,1.02286e-05
125.498,9.93113e-06
125.666,1.25392e-05
125.835,1.48489e-05
126.003,1.45922e-05
126.171,1.51401e-05
126.339,1.85218e-05
126.508,2.03145e-05
126.676,1.93366e-05
126.844,1.99536e-05
127.012,2.28124e-05
127.18,2.40693e-05
127.349,2.57517e-05
127.517,3.16201e-05
127.685,3.72488e-05
127.853,3.85949e-05
128.022,3.87588e-05
128.19,4.09029e-05
128.358,4.17648e-05
128.526,4.04933e-05
128.695,4.18348e-05
128.863,4.46584e-05
129.031,4.26352e-05
129.199,3.64717e-05
129.367,3.19197e-05
129.536,2.83481e-05
129.704,2.6126e-05
129.872,3.46709e-05
130.04,4.83017e-05
130.209,5.74238e-05
130.377,6.19248e-05
130.545,6.41787e-05
130.713,6.2105e-05
130.882,5.46511e-05
131.05,4.7964e-05
131.218,4.67327e-05
131.386,4.5511e-05
131.554,4.15407e-05
131.723,3.94308e-05
131.891,3.92358e-05
132.059,3.68918e-05
132.227,3.54363e-05
132.396,3.77801e-05
132.564,3.83456e-05
132.732,3.56091e-05
132.9,3.53167e-05
133.068,3.71944e-05
133.237,3.62053e-05
133.405,3.50366e-05
133.573,3.73145e-05
133.741,3.82741e-05
133.91,3.67675e-05
134.078,3.85137e-05
134.246,4.233e-05
134.414,4.28902e-05
134.583,4.29162e-05
134.751,4.62553e-05
134.919,4.83251e-05
135.087,4.68467e-05
135.255,4.66431e-05
135.424,4.79174e-05
135.592,4.56162e-05
135.76,4.15534e-05
135.928,4.13552e-05
136.097,4.18794e-05
136.265,3.93585e-05
136.433,3.82421e-05
136.601,3.97572e-05
136.769,3.89555e-05
136.938,3.72229e-05
137.106,3.92776e-05
137.274,4.15341e-05
137.442,4.03259e-05
137.611,3.9837e-05
137.779,4.24009e-05
137.947,4.36253e-05
138.115,4.32296e-05
138.284,4.50002e-05
138.452,4.69929e-05
138.62,4.55477e-05
138.788,4.40602e-05
138.956,4.64429e-05
139.125,4.84884e-05
139.293,4.81324e-05
139.461,4.96133e-05
139.629,5.27756e-05
139.798,5.29306e-05
139.966,5.15269e-05
140.134,5.31134e-05
140.302,5.48899e-05
140.471,5.35862e-05
140.639,5.35794e-05
140.807,5.71685e-05
140.975,5.88708e-05
141.143,5.74731e-05
141.312,5.80692e-05
141.48,6.00639e-05
141.648,5.83819e-05
141.816,5.58216e-05
141.985,5.77928e-05
142.153,5.95891e-05
142.321,5.71535e-05
142.489,5.63363e-05
142.657,5.91158e-05
142.826,5.81515e-05
142.994,5.40804e-05
143.162,5.48145e-05
143.33,5.64912e-05
143.499,5.27751e-05
143.667,5.04225e-05
143.835,5.35161e-05
144.003,5.31011e-05
144.172,4.88395e-05
144.34,4.9549e-05
144.508,5.14594e-05
144.676,4.86196e-05
144.844,4.87085e-05
145.013,5.47677e-05
145.181,5.77247e-05
145.349,5.68627e-05
145.517,5.82142e-05
145.686,5.98133e-05
145.854,5.77138e-05
146.022,5.65146e-05
146.19,5.98935e-05
146.358,6.20699e-05
146.527,5.91608e-05
146.695,5.50401e-05
146.863,5.30893e-05
147.031,4.99409e-05
147.2,4.47963e-05
147.368,4.32102e-05
147.536,4.44132e-05
147.704,4.22936e-05
147.873,3.9449e-05
148.041,4.13285e-05
148.209,4.27154e-05
148.377,4.01995e-05
148.545,3.97393e-05
148.714,4.21021e-05
148.882,4.11315e-05
149.05,3.90379e-05
149.218,4.16698e-05
149.387,4.41492e-05
149.555,4.15683e-05
149.723,3.83457e-05
149.891,3.79361e-05
150.06,3.55315e-05
150.228,3.09638e-05
150.396,3.11404e-05
150.564,3.39253e-05
150.732,3.30072e-05
150.901,3.17039e-05
151.069,3.41616e-05
151.237,3.50243e-05
151.405,3.26018e-05
151.574,3.31664e-05
151.742,3.62423e-05
151.91,3.5612e-05
152.078,3.35707e-05
152.246,3.58471e-05
152.415,3.79135e-05
152.583,3.54815e-05
152.751,3.30911e-05
152.919,3.32167e-05
153.088,3.06062e-05
153.256,2.57965e-05
153.424,2.6766e-05
153.592,3.01775e-05
153.761,2.94918e-05
153.929,2.91087e-05
154.097,3.22291e-05
154.265,3.2646e-05
154.433,3.01473e-05
154.602,3.23477e-05
154.77,3.73035e-05
154.938,3.90032e-05
155.106,4.06921e-05
155.275,4.49293e-05
155.443,4.62719e-05
155.611,4.32268e-05
155.779,4.17571e-05
155.947,4.33927e-05
156.116,4.273e-05
156.284,3.97163e-05
156.452,3.87934e-05
156.62,3.87588e-05
156.789,3.58225e-05
156.957,3.20532e-05
157.125,3.13203e-05
157.293,3.0727e-05
157.462,2.69585e-05
157.63,2.35318e-05
157.798,2.35769e-05
157.966,2.22765e-05
158.134,1.84525e-05
158.303,1.76468e-05
158.471,1.86287e-05
158.639,1.64788e-05
158.807,1.55895e-05
158.976,1.88171e-05
159.144,1.9251e-05
159.312,1.6633e-05
159.48,1.72065e-05
159.649,1.90034e-05
159.817,1.77478e-05
159.985,1.74192e-05
160.153,2.01193e-05
160.321,2.04894e-05
160.49,1.82406e-05
160.658,1.81744e-05
160.826,1.90696e-05
160.994,1.69557e-05
161.163,1.40098e-05
161.331,1.44349e-05
161.499,1.50371e-05
161.667,1.42093e-05
161.835,1.57979e-05
162.004,1.88431e-05
162.172,1.94631e-05
162.34,1.90264e-05
162.508,2.0946e-05
162.677,2.29876e-05
162.845,2.25385e-05
163.013,2.20174e-05
163.181,2.31104e-05
163.35,2.25941e-05
163.518,1.97264e-05
163.686,1.86674e-05
163.854,1.98808e-05
164.022,1.91446e-05
164.191,1.66529e-05
164.359,1.53664e-05
164.527,1.40099e-05
164.695,1.09316e-05
164.864,1.0226e-05
165.032,1.28358e-05
165.2,1.36357e-05
165.368,1.28908e-05
165.536,1.41864e-05
165.705,1.60559e-05
165.873,1.59414e-05
166.041,1.55847e-05
166.209,1.64177e-05
166.378,1.59668e-05
166.546,1.43489e-05
166.714,1.61871e-05
166.882,1.99338e-05
167.051,2.07914e-05
167.219,1.93561e-05
167.387,1.8924e-05
167.555,1.8701e-05
167.723,1.67613e-05
167.892,1.58132e-05
168.06,1.71355e-05
168.228,1.63376e-05
168.396,1.31192e-05
168.565,1.32034e-05
168.733,1.56646e-05
168.901,1.57449e-05
169.069,1.59333e-05
169.238,1.84918e-05
169.406,1.91653e-05
169.574,1.75111e-05
169.742,1.85459e-05
169.91,2.09918e-05
170.079,2.02563e-05
170.247,1.88232e-05
170.415,2.07435e-05
170.583,2.22145e-05
170.752,2.14875e-05
170.92,2.26845e-05
171.088,2.51796e-05
171.256,2.46471e-05
171.424,2.25732e-05
171.593,2.32806e-05
171.761,2.46777e-05
171.929,2.37578e-05
172.097,2.2945e-05
172.266,2.40108e-05
172.434,2.42688e-05
172.602,2.33107e-05
172.77,2.41841e-05
172.939,2.66302e-05
173.107,2.74326e-05
173.275,2.68237e-05
173.443,2.7831e-05
173.611,2.97004e-05
173.78,2.92121e-05
173.948,2.68854e-05
174.116,2.53051e-05
174.284,2.30412e-05
174.453,1.77128e-05
174.621,1.33583e-05
174.789,1.47376e-05
174.957,1.56708e-05
175.126,1.50756e-05
175.294,1.71199e-05
175.462,1.90223e-05
175.63,1.78019e-05
175.798,1.73702e-05
175.967,1.98058e-05
176.135,2.01051e-05
176.303,1.757e-05
176.471,1.67568e-05
